label,ax_A_mean,ax_A_std,ax_A_RMS,ax_A_energy,ax_A_entropy,ay_A_mean,ay_A_std,ay_A_RMS,ay_A_energy,ay_A_entropy,az_A_mean,az_A_std,az_A_RMS,az_A_energy,az_A_entropy,ax_B_mean,ax_B_std,ax_B_RMS,ax_B_energy,ax_B_entropy,ay_B_mean,ay_B_std,ay_B_RMS,ay_B_energy,ay_B_entropy,az_B_mean,az_B_std,az_B_RMS,az_B_energy,az_B_entropy,ax_C_mean,ax_C_std,ax_C_RMS,ax_C_energy,ax_C_entropy,ay_C_mean,ay_C_std,ay_C_RMS,ay_C_energy,ay_C_entropy,az_C_mean,az_C_std,az_C_RMS,az_C_energy,az_C_entropy,ax_D_mean,ax_D_std,ax_D_RMS,ax_D_energy,ax_D_entropy,ay_D_mean,ay_D_std,ay_D_RMS,ay_D_energy,ay_D_entropy,az_D_mean,az_D_std,az_D_RMS,az_D_energy,az_D_entropy,ax_E_mean,ax_E_std,ax_E_RMS,ax_E_energy,ax_E_entropy,ay_E_mean,ay_E_std,ay_E_RMS,ay_E_energy,ay_E_entropy,az_E_mean,az_E_std,az_E_RMS,az_E_energy,az_E_entropy
階段降り,-10094.125,2906.270654872839,148551.51876369357,1729507344903.9453,1.2852056681259723,2566.815,2003.9658531958576,46053.052852118286,111854483755.516,2.283936875904633,1551.725,1415.967439376697,29707.95942167688,47854797079.14404,2.3204919145897582,-10060.25,3255.0683337681253,149535.34693844127,1673211626862.3096,1.3568728974202402,-2917.105,1463.3522248505315,46153.87592608014,230761624372.9027,1.8594193453771597,1551.43,1113.952294804405,27010.46004791477,76912164820.41714,2.517769327094804,-10221.83,6234.585190780538,169325.6395529041,2233606946491.661,2.3554645289588017,213.255,5051.334010929689,71500.28389454128,726331274878.4707,4.0969456052968685,-192.255,6147.294860341009,86978.38361914988,798485587261.492,4.452875492840742,-10283.77,4832.7439076677765,160693.08578156063,2000504154613.4934,1.8584303039635488,-831.53,4370.558100414638,62917.75623780619,213648248983.9914,3.971124092041182,767.595,5057.4949531339125,72342.87426554188,323933934703.9161,3.761345904075038,-9191.72,3672.1664193769875,139980.37203122443,1537014957307.3984,1.6347567341993847,1528.485,2237.0727077533707,38316.4734676875,134029908843.08658,3.2386680930128,3154.785,2266.11673767593,54932.60136749397,244560116670.92902,2.468958316919953
階段降り,-10095.115,3193.3085729028758,149738.81694804458,1589442407170.474,1.2915169497271446,2333.925,2153.205442909479,44907.6821601828,114313263251.55315,2.4975690873329492,1803.53,1642.7352218480007,34500.143391006364,89735693500.33417,2.155536005715231,-10035.785,3170.6003830150216,148841.98826608036,1539238721794.6057,1.3054821453311303,-3039.875,1402.8538909576434,47347.31049383903,194987381178.1839,1.7879979726538866,1688.815,1134.8549470196622,28774.960834030688,64748654307.39351,2.1609920389922825,-10530.06,5301.701955636511,166727.44658873655,2052405123074.42,2.2294423429581047,699.5,4368.474908935612,62566.56180420976,432969767492.3978,4.314322815651149,-307.425,5091.87965533112,72141.1790241884,726456913652.511,4.134171188720439,-9938.065,5046.086631318868,157624.9512196594,1896788244234.7673,1.731697563495515,-547.94,4420.702893929878,62996.59089188874,135370657842.30188,4.028950711739282,714.495,5136.788663160574,73344.53064135049,214887260403.2237,3.7914722220868207,-9142.385,3377.72067625122,137834.82902009928,1393968955029.0918,1.373475263456235,1806.145,1795.6565857577002,36018.16856809907,111004489477.1897,3.056860473380971,3081.645,1990.2622010617094,51880.01452389928,208084630728.64227,2.1067703298463156
階段降り,-9774.82,3475.4802571155556,146714.73617193333,1608768812761.4795,1.477447797452123,1566.395,2285.0595526101724,39179.30692342579,137626066729.37665,2.9916941374428845,1679.06,1431.1956422516107,31201.164882100155,91405406342.06134,2.462955624021255,-9590.5,3283.159356473578,143357.47319899302,1626238596888.779,1.3719472111437996,-3322.63,2076.4386538253425,55410.22938050338,201136316547.5395,1.8415557053280747,1614.49,1334.0531960532912,29618.493850970885,41862569581.29481,2.379858477995885,-10056.35,6243.934770439233,167401.8498941992,2227688019360.2637,2.30821615817266,714.18,6130.051495509643,87278.38725595243,399087561453.2459,4.310351212100001,-352.485,7163.887859938554,101435.23544114245,763097950586.7881,4.116184053610286,-10066.735,5513.109765347957,162316.68604613637,1968870846012.0137,1.905891578029833,-541.695,4177.102973590067,59567.81467369774,433306002280.65784,4.04210519490702,1479.1,4850.599678390293,71716.18234401495,430403144901.0615,4.200905677360125,-9244.945,3315.911983448143,138898.72593728136,1448670671210.2988,1.4679003491143086,1706.79,2538.833272568327,43263.85671666362,157456483914.89297,3.4299507617670493,3067.52,2349.352195733965,54642.72081439576,218474887278.93497,2.3216733614775107
階段降り,-9877.695,4102.551451471998,151261.2223439967,1672245241797.0068,1.4812587148875522,2008.595,2648.684367940998,47010.60041097114,239731869013.34854,2.7051463100655586,1266.855,1390.9425272005315,26606.92656057817,72322989534.53009,2.3913888820099016,-10151.925,3933.6663063070064,153970.97896356962,1764527532742.7573,1.5074956207603534,-2870.965,3891.1699286686267,68386.611913444,200610693039.93707,2.2367746058217044,1445.825,2767.0072685800806,44151.41935430842,65631723159.044785,2.331365610984774,-10021.67,8009.853310835348,181434.075989049,2152117857237.2544,2.113544616105996,331.65,8567.77858826312,121257.43000740201,378021892653.91833,4.1989592533714895,-984.635,8996.134368815026,127984.32690372677,452171269516.0648,4.174777953052231,-10140.725,5408.3798312780345,162532.99721902626,1909873369652.2966,2.104586112699626,-529.425,4969.725181976864,70680.20828350748,707240245883.4167,3.736630304515938,653.58,4202.529617218658,60147.18946052259,504616939507.48804,4.56154683579298,-9174.13,3794.767022242605,140402.9330249194,1511028842078.0552,1.5752405048387836,1464.05,2965.51048345812,46771.133896881314,134155866049.89937,3.4410216687106754,3302.915,2665.429948014954,60022.936124451626,224675361885.99197,2.3525128762451963
階段降り,-10688.945,3710.3196765204743,160012.51033278616,1844236847518.9294,1.4413904674708373,2422.165,2083.888892857533,45187.334962354216,90989527770.51814,2.2124702973237773,1358.81,1434.6186684621111,27944.57135115871,68145228145.89789,2.5032814461718678,-10788.77,3520.0902924641014,160492.11431095298,2011118729040.2322,1.4439832242867472,-1978.025,5007.787262292101,76145.27715492275,729246591555.2814,3.9366280748018285,127.145,2972.408623317965,42074.64527479703,260448616280.6898,3.5264542455426864,-10755.855,7108.7622666660445,182330.97254443634,2637814327812.9287,2.7032831706263334,339.54,8287.281863096005,117298.19102611941,1438734541525.1333,4.545167682773523,-1933.14,8662.405035577593,125518.35822699402,1269527736122.95,4.493122226789303,-10760.96,5104.362440932268,168435.61146622172,2050962477896.1953,2.103721420598677,-1159.18,5691.8197439483265,82146.83228220063,358811341115.75964,4.032406287764322,-185.4,5089.5023293049,72024.17249784963,515497413438.98596,3.907809524409911,-9423.96,3349.9560845479737,141444.8499239191,1437782575393.417,1.483818794069658,1347.885,2932.12924881817,45638.08914711483,133528699532.97311,3.443274803639593,4089.31,2516.2190393326246,67902.59866897584,371813393317.88635,2.009156477904555
階段降り,-10026.59,3608.4932592288433,150700.84978526167,1678991556416.8577,1.2915129818231204,2121.9,1853.4371232928295,39843.91742788352,71964882494.96388,1.6871131118925842,1760.53,1538.7530110774767,33067.285071502316,17548589364.26644,2.298193739209144,-9858.065,3317.329707878763,147095.96998898374,1437666864616.833,1.1961114814287044,-1657.045,4498.122958854613,67792.19466133251,324730912850.20526,4.025018608245544,518.52,2170.325786512246,31556.859824767103,90071195502.75616,3.1892428173313645,-10300.305,4655.652615044964,159857.0513709045,1811254548344.4644,1.9950100737333054,423.65,5324.097633167522,75532.1056637507,735642095952.648,4.50766325642625,-1837.88,6187.986445977399,91289.62608095183,1052638003647.4268,4.596474408745239,-9995.465,5375.024037971832,160499.34826970482,1914386454851.9724,1.8404765465425954,-1046.295,6121.998517475726,87833.47775762952,281200741067.67816,3.8555990531797013,341.845,5287.03068375577,74926.0321316964,241503866033.36456,3.343538124724617,-8906.53,2404.294206019721,130466.0164717234,1214628116958.321,1.176034054539083,1099.54,2305.0869828273294,36117.625088037006,107409556473.39792,3.794312487680031,3786.32,2300.079506799711,62652.35012351891,288391246727.3767,1.9823006144590822
階段降り,-10068.15,4476.488487363728,155824.6409269086,1822312889625.499,1.5782181777803548,2443.025,2374.602908777591,48181.13764742381,131646870966.52829,2.7622162275873614,1895.32,1432.5058769861985,33598.54458157377,114610927068.44217,1.809207562802981,-10099.28,5176.24187723101,160492.32784778217,1817808301109.8364,1.78669020222374,-2449.41,3235.158936111176,57386.17026775702,185692181959.80368,2.430994581493657,1899.15,1623.1159162241006,35330.65524441912,67511304753.26497,2.3598621702030456,-10710.8,6349.4718930002355,176089.19896461564,2362126246380.7,2.663480770860049,893.17,7037.023191030421,100316.9457669042,1044284772748.0244,4.466308861963274,-582.455,6753.459470373315,95862.89025999581,1159007873237.983,4.4801708245375185,-9947.59,6943.906991161388,171564.7930724716,2096956554708.0957,2.1156614532136166,-632.215,7070.092263809222,100385.15868892174,506872130686.4158,3.640975270816266,191.525,5067.474153794473,71716.07368644772,226142783451.64648,3.985670425322834,-9233.085,3573.1057803786052,140012.1020019341,1426403800421.0852,1.4626032079382811,1447.275,2393.2649329681403,39553.31077166613,176584616095.8457,3.508878482338555,3369.715,2532.9190499846222,59616.5381333066,268883495908.49228,2.570940454420021
階段降り,-10154.63,3588.228959124542,152310.14247252216,1782365353925.6208,1.5654540628189157,1959.55,2243.077849184019,42121.81012254815,223317176042.54376,2.967130860966707,1731.72,1178.2545826772753,29621.404490671943,85895094341.05637,2.5106675488605728,-9683.71,5016.186361759302,154231.23223264475,1828588021996.947,1.808447609267953,-3209.09,2226.8913403891083,55240.028367117986,173819745760.0223,1.8817245852311089,1751.725,1555.7441432880285,33132.70382869469,55334894984.12811,2.2200364413797122,-10292.045,7187.3789800576815,177530.0576719334,2338564565536.764,2.3409727640233857,1087.08,8474.716450926246,120832.57991949025,509374883703.0507,4.211865939907362,-382.88,8941.885032564442,126573.22389036317,711329137660.2955,4.198999463208175,-10218.8,6871.849900863668,174152.91814953892,2371569020181.377,2.488705063600997,-498.96,5503.799879029032,78154.68532340208,796219216931.6768,3.8578104873427654,574.155,5891.596179387636,83714.46649773263,640304717450.4177,4.01748012027608,-9009.395,3820.0421396857646,138392.13866040224,1489638806077.1562,1.6816289749525344,1706.44,2897.024056924623,47549.31305497483,129992703038.59157,3.3907070048105203,3078.57,2731.201260452989,58201.4665966417,255598521555.34906,2.392204886080302
階段降り,-9842.115,3358.3421225025604,147068.48029744512,1641676823504.9722,1.2868513060848943,1975.97,2139.2632654958584,41184.71745684314,180566721884.56537,2.505629401161606,1648.865,1204.8955667504958,28880.890273674046,63510821132.66025,2.3571037808688686,-9465.21,3860.502216797706,144563.94966242448,1675924632119.101,1.5235288530094084,-3247.495,1714.3121127656423,51932.82159675132,179236124703.24847,1.5817589843481346,1792.445,1320.0968968128823,31481.788052777436,48503708389.52987,2.0047747196443275,-9869.535,6973.943356435796,170905.59209984908,2108739221146.4102,2.1103199868447327,754.97,7100.2694779212425,100979.01401776509,542887995995.3525,4.104194262257717,-925.33,8440.111392695004,120076.40561742344,575355296965.5488,4.519837103739983,-10311.175,6424.061236817017,171807.38788247728,2423360615211.088,2.5543796271869414,-708.1,4647.417816379332,66482.92708658366,612133836126.8518,4.315848974066974,250.835,6585.028776533553,93193.90772470055,1228611748976.9084,4.215952332158541,-8960.67,3913.584246071623,138282.13803669656,1513713373561.336,1.6371130486576417,1571.56,2650.4396628484124,43576.67091460751,105955966929.26419,3.190594320058469,3184.685,2619.409650240872,58315.56475761853,237789535796.80582,2.37756629993087
階段降り,-10280.23,4645.534916142597,159539.41425867152,1761161435100.8557,1.6613743943806987,2423.11,2189.1990562532233,46182.36585537818,115246204638.5731,2.265565167562172,1754.525,1025.5261817111257,28740.43119022399,54491397500.59701,1.6744016255111918,-10010.6,4209.327399953585,153577.69989161837,1640455988858.1372,1.5903888676217002,-3112.235,1677.5113948271705,50000.10234989524,165409028626.96204,1.8757220015928302,1966.905,1222.4328922174013,32750.74794565767,93049526798.00406,1.9645948161118965,-10617.225,7421.966101672457,183199.91676581078,2299904992697.2812,2.3761735077949915,1017.5,6765.669011265627,96756.99811383153,648355777283.4154,4.481394633074393,-535.27,9378.895472127835,132853.44876968756,887943246609.0935,4.644424315622274,-11097.55,6792.748551764593,184009.26546780192,2296888273131.4746,2.416704280582586,-1219.04,6872.539471578174,98709.53075564689,760377341087.0848,4.084746463766641,-133.455,7529.878212028066,106505.28261546466,883909957284.434,4.519829176237357,-9685.78,4453.825712979798,150765.31278115665,1543154142932.355,1.6734323018685822,1523.49,2449.7984467910824,40798.36812912987,97328234387.96211,3.47823966002525,3495.15,2637.9423491615566,61927.07543554757,258839927466.2281,2.276929915573946
階段降り,-9403.31,4829.388106572094,149495.97214640936,1823096411806.8774,1.751954640111768,2394.8,2344.3317150096323,47394.00432544184,135711526661.5326,2.358942843231543,1931.635,1182.2786523383563,32028.10198872234,51605640653.71057,1.6109216019519756,-9663.1,4087.6807776537557,148381.0201811539,1628313037181.71,1.5700912503276023,-2891.975,1766.5587944857648,47925.4616566184,213676606189.12793,2.3207405736512983,1972.4,1259.4485261415018,33095.53549952017,131983812533.0723,2.110135690365248,-10456.255,7435.982536287656,181453.63314356646,2501257799905.8755,2.7826684528688093,1099.485,7049.832601542748,100904.91264056473,1091795073284.6787,4.484816597721089,-349.64,9595.547581060708,135791.59142597896,2354544811154.966,4.73724259345389,-10107.49,6761.054938387945,171972.79900030702,2249590769356.786,2.2921167401034057,-1047.685,7366.342095353365,105224.1794693596,318670397293.4377,3.943264605385706,-284.67,7187.929649147939,101732.3642210285,305887535788.0156,4.291919204574661,-9009.57,4640.514905169467,143322.52451725793,1581466472143.9287,1.784877767805171,1155.795,2925.1017833530173,44479.394161791366,140468080497.69373,3.432706959007234,2777.745,2763.135108888996,55408.99370138389,258167831720.9579,2.5981174477807603
