label,ax_A_mean,ax_A_std,ax_A_RMS,ax_A_energy,ax_A_entropy,ay_A_mean,ay_A_std,ay_A_RMS,ay_A_energy,ay_A_entropy,az_A_mean,az_A_std,az_A_RMS,az_A_energy,az_A_entropy,ax_B_mean,ax_B_std,ax_B_RMS,ax_B_energy,ax_B_entropy,ay_B_mean,ay_B_std,ay_B_RMS,ay_B_energy,ay_B_entropy,az_B_mean,az_B_std,az_B_RMS,az_B_energy,az_B_entropy,ax_C_mean,ax_C_std,ax_C_RMS,ax_C_energy,ax_C_entropy,ay_C_mean,ay_C_std,ay_C_RMS,ay_C_energy,ay_C_entropy,az_C_mean,az_C_std,az_C_RMS,az_C_energy,az_C_entropy,ax_D_mean,ax_D_std,ax_D_RMS,ax_D_energy,ax_D_entropy,ay_D_mean,ay_D_std,ay_D_RMS,ay_D_energy,ay_D_entropy,az_D_mean,az_D_std,az_D_RMS,az_D_energy,az_D_entropy,ax_E_mean,ax_E_std,ax_E_RMS,ax_E_energy,ax_E_entropy,ay_E_mean,ay_E_std,ay_E_RMS,ay_E_energy,ay_E_entropy,az_E_mean,az_E_std,az_E_RMS,az_E_energy,az_E_entropy
階段降り,-9817.62,4012.5751302125154,149990.94748684,1619128422691.429,1.6403166524369706,2392.025,937.2232148079773,36332.27478427411,99214850432.46552,1.8590677769306605,700.18,638.7329626690639,13403.222224524967,21187040914.772476,2.3173758175670898,-9644.69,4050.569255536807,147937.25459802206,1673906651289.498,1.6087386162917983,-1885.985,1443.5129423649112,33587.70321114559,76773854133.93584,1.7576470743226147,317.895,1277.5927692246073,18618.810461466113,19798816694.35605,2.9390201147138857,-10240.45,7106.957097626241,176281.39742468574,1845557815004.1587,1.998455084418873,1283.39,5407.820808597489,78602.31013144588,161543157920.65717,3.9109133558876596,651.55,6397.582529948321,90943.47654449988,218700619161.51202,4.067073309763301,-9856.535,7584.688004708895,175885.63007534185,3342133753541.7593,3.470023253511391,-1201.255,6409.500446990779,92222.24195388009,1528469675054.7944,3.864050126495969,1703.97,6895.250015706467,100446.98755064783,1667814390909.7344,4.67741824683217,-9754.005,3497.403308881461,146541.76431652514,1581487564130.797,1.497450924294657,866.845,2477.447202459621,37119.172660499855,118706848766.20247,3.9107178161981433,1689.24,1923.7487004284112,36205.913439657896,109142109123.55307,3.183456740066946
階段降り,-9842.755,3946.565128687857,149970.13189632128,1741887898105.5032,1.6342314555559194,2549.22,1030.9560570654796,38888.02643488096,119084105640.10661,1.3496280465069146,433.42,1152.7377557796915,17416.413120961504,15195284108.226936,2.7054522618095724,-9696.6,3946.5860867336987,148053.76948933114,1680081670224.7288,1.5520695829988362,-2325.76,813.3914263133092,34844.69885075777,97711826879.49286,1.6394723371850677,21.505,1039.2753773543373,14700.71954021299,12992030374.630241,3.2494646236441653,-9932.185,5767.586080915915,162427.42876435618,2108291103669.5273,2.0180090466736855,1088.535,3934.472352015578,57732.10741866262,288642969409.8538,3.8596224381428303,64.85,5314.865764767724,75169.1474209998,311895559409.6398,4.075556619403451,-10145.13,5281.916120415015,161754.3202637877,2115472368714.9998,2.4929004641406878,-1014.645,5145.345381893717,74167.49095796622,402406849863.26764,3.9949999135583774,-89.38,6118.944047431713,86544.16796064308,687821296700.1719,4.236791229855195,-9639.565,3139.246009119866,143370.90283247852,1628009997313.1506,1.407358478488118,994.375,2171.3491806651,33774.365737937995,92723326959.94705,3.8157843094365957,1724.285,1889.044402277247,36170.83774257931,103511914925.45306,2.882648312708329
階段降り,-10450.6,3580.3323923904045,156226.64331028814,1663374405567.4746,1.3303554283113241,2677.97,870.4084840464277,39822.441537404506,103763759143.77634,1.1751928367584945,265.63,1454.7253531508964,20913.082747409575,35411275918.75972,2.045035499413936,-10192.435,3807.8304420988866,153873.52202702063,1618008219757.126,1.52342715089255,-2541.585,751.6264050543995,37482.25330739869,117824929584.16614,1.3616228179182381,62.54,1103.2471655979898,15627.319411850518,24986486207.29956,3.2509163286157152,-10404.415,5943.60265350696,169456.93493923463,1910874154135.2168,1.8379438626105313,1081.755,3551.57843007514,52505.05351868523,158829017281.06458,3.8778246368467455,-1190.675,5341.01500740964,77387.52905345925,348226172889.896,4.107971053666011,-10789.5,6253.62868820975,176363.93169806575,2063410529453.37,2.3686567441176725,-1330.89,5382.439407731406,78411.63455763436,404310288859.3353,3.6288941685176113,-1591.91,7108.696917290818,103022.08434117415,828664767025.0299,4.042188404844853,-9984.84,2536.2044208620096,145691.0173552234,1478194135972.6497,1.1679061090356622,860.895,2269.5293794033605,34327.55104868391,59874939795.66911,3.721416615198298,2220.46,2007.713021923203,42335.21982935721,110967758880.07422,2.3939748451331173
階段降り,-9665.13,2525.202412302824,141273.76624129477,1651922460142.1138,1.2487162482066347,2391.44,931.2906347644652,36294.042265914664,94884693818.31143,1.641732797900948,476.07,1503.7378179390184,22306.367117932943,33234923783.344162,2.341418228042169,-9586.33,2776.9083962385216,141144.56639205068,1587543538315.5374,1.3060700949473514,-2444.465,833.3234718733175,36523.518847449515,92612219935.67104,1.432029336185215,-18.09,955.90905524532,13521.016012119799,20115202078.466145,3.208880075913756,-9994.08,4622.715050011193,155724.84033062932,2141380813400.9075,2.391003352878561,947.3,3367.4451250168886,49471.333032373404,243519245513.12076,3.907782649014627,-805.335,4782.815951170922,68591.38850468038,503901583467.11,3.786398089840745,-9666.055,6098.435364253277,161631.39123016916,2062138161856.9797,2.054535638914273,-1463.075,4807.702957689356,71069.81945242298,299394884310.37305,3.8192118449263246,-509.43,6258.301108535767,88798.48161990159,422084296909.9808,4.242615147322164,-9376.82,1877.0450520965126,135239.0856520407,1433659004167.337,1.1529708868731638,593.425,1830.2142973911566,27209.69534926843,76095512110.0148,3.9997538294554302,2159.67,1795.896183274523,39722.58201577536,132204353452.91968,2.6206685566013483
階段降り,-9855.325,3819.951442017948,149478.73418985057,1719267682082.023,1.5405010779964252,2322.305,801.1388718412057,34741.686789791886,96699708657.9014,1.3566158292272799,450.57,1331.248776562818,19875.797493434067,29235185870.746483,2.8260565720495627,-10016.21,3256.271932118078,148948.158538466,1609819728787.222,1.4227709754463027,-2444.89,1026.1979379729821,37498.18480940111,114605973834.93808,1.771152546753285,7.925,975.5848345351621,13797.308251974368,11426676689.058405,3.0959619081799534,-10176.81,5292.205839146848,162218.92887083185,1989289896760.5713,2.1823494443223654,1011.675,3937.7097962362577,57496.16464600052,312486192279.4369,3.9606681538457433,343.56,5441.176251179518,77103.09004183944,661095532712.6489,4.565690824131191,-10005.94,8692.48187667941,187444.9660353673,1728258713533.5703,1.949816873303659,-1682.63,8679.171188719578,125027.4019885241,215988952478.29834,3.8016421487183805,386.105,8451.323421451518,119644.42707038218,247329908572.6182,4.126106097486185,-9622.42,2863.023725643921,141977.37249998678,1532926164121.512,1.3731797547141962,733.985,2241.7991111549222,33359.84782639153,58743799701.80841,4.185044943833967,1859.93,1842.0123466198586,37019.85707697965,95195951282.6077,2.6106427398690437
階段降り,-9956.56,4373.356927624362,153791.63686624836,1836068033528.9814,1.6764081625914347,2476.325,846.5658564902084,37010.42894914891,75815166114.48369,1.4889905690953111,329.235,976.0446709935974,14567.490415304896,28186622546.64509,3.007798535818975,-9890.11,4127.979534578628,151561.53261959314,1812442818324.5764,1.7091958907423752,-2413.385,1118.7134962871414,37619.00329620656,91910634271.551,1.529654541805186,461.79,1046.9354115226022,16182.235692264527,14457819986.67429,3.4236226515615535,-10198.96,6628.63470394922,172021.84926340025,2293421022523.8013,2.52358037719462,1279.97,5348.957650711024,77781.32314379848,401375151818.3205,3.8879754051366966,811.84,6588.422378263251,93879.06435409335,640939458251.507,4.424973953900002,-10044.735,8276.287865630038,184061.75162428504,3551620185288.2695,3.5252160846083775,-1224.485,8331.314435296212,119088.34009675338,2254689208128.004,4.043741376256466,1792.575,7939.21776589955,115103.86949620764,1871938931984.743,4.640700717864393,-9707.355,3476.1143492375227,145819.14282082446,1671169614185.2168,1.5606679707106554,818.375,2556.6922623528626,37964.227807239804,154460555275.2342,4.158485629935173,1667.455,1909.8994785001112,35855.60540557083,119181624074.09308,3.281385563895356
階段降り,-9670.145,4070.6615720267155,148379.237061659,1724045432766.8354,1.4597031816568604,2873.25,1176.5751261606715,43908.756734847324,127252928035.34949,1.4098756147783027,540.025,804.418015943825,13701.936687928463,8313829233.8661175,2.4266389742291197,-9695.14,4213.032744994987,149496.07655721268,1569520307976.105,1.3796327890151108,-2314.635,1091.7487539608185,36192.403968236205,90382521316.69693,1.6216682243926974,294.145,1081.0813540039437,15844.60902010523,17344549833.211918,3.032769932752521,-10297.96,9373.50622970935,196931.76442615854,1978630895865.2324,2.184345043785434,1412.865,6999.911647069198,100990.04958410507,270219716986.28476,3.9069242625759446,826.685,8200.323208006806,116557.89017050712,266841957054.8415,4.283017585130204,-9798.115,7272.887792464216,172567.64145980554,3019428990367.8047,3.21016467279295,-1320.4,7560.970820602336,108546.52081941642,1913689784391.5874,3.8096145966347335,1377.145,6874.4527290523265,99151.02488123863,1490031961964.8086,4.474267464289806,-9673.79,4003.7642045829825,148062.3792663079,1592520220257.8809,1.4823416990370673,813.115,2746.6632905718534,40510.03637371855,75416272047.98428,3.9846844843224347,1674.21,1945.0233689855763,36293.51189951174,77459900000.9938,2.939516461866113
階段降り,-9611.52,4398.8470261649245,149486.56920941093,1735008006948.2886,1.5439963123998584,2794.17,1176.068399839057,42873.121813089376,198701274908.0913,1.3039565004354923,987.34,518.7212010319223,15772.837157594699,18277716822.662815,1.8013850904894504,-9825.98,4153.263218193616,150863.83153029092,1703439532629.5266,1.6735782423459415,-2406.53,1087.6188298756144,37347.82820995084,100968363692.23859,1.958114054106303,-21.355,913.4489744780493,12921.649004674287,15507852129.23549,3.497940235222514,-10395.2,9152.581638532381,195872.37359566562,3475190659390.2007,3.3948335669951426,1264.865,6062.851488926229,87587.72932894196,1031258342203.9164,3.839333953802784,1593.28,7652.540674939271,110544.0364198811,1243102534055.9688,4.735114745212133,-10687.27,9777.779925274444,204852.49342880843,2696473305703.9697,3.1981989586704906,-2031.585,9594.014337219585,138688.46290517465,686547059120.5503,3.797574345491249,482.49,9774.521803131855,138400.9198524345,1046213931888.5725,4.660434755804905,-9943.5,4451.816631443842,154072.6215587961,1708624155486.7852,1.7193371175592764,918.425,2908.0350624390694,43128.1170583646,167848552640.86096,4.116203478898734,1799.045,2266.3344066961968,40921.472493056746,121218863830.26494,3.2298133724320643
階段降り,-9810.495,4738.0775225797015,154074.78103505453,1899538239577.608,1.8219956420521177,2633.315,951.1535027402257,39595.55751596383,128529159495.18396,1.3441827034221596,913.54,694.6656306454205,16230.315277282816,14909744211.036694,2.616788289889474,-9647.455,4572.1129303610805,150981.8562775011,1694781166252.7107,1.617237657504742,-2399.095,988.0366268388029,36692.97806120403,92478265827.0299,1.4376889327397337,75.195,765.9467912165962,10884.197489939255,10872587884.191008,3.468580534688228,-9854.48,6120.8674809703225,164058.40105889124,2268101282543.168,2.5619568265541157,1122.47,4814.551866903087,69914.01659181083,543685986707.8624,4.241488263935688,1567.13,5679.7100404069915,83324.6693122751,1047071965602.4519,4.483719925483443,-10604.26,10623.157191833321,212274.2560321435,2104111633942.6921,2.4518490340317993,-1804.63,10987.574408080247,157469.6674347158,478201237461.8213,3.6738168751562954,314.8,11193.696840633133,158365.36742608846,548460317451.64966,4.388321752199331,-9647.545,4160.570472660571,148583.62708252884,1644989761606.487,1.6292281845455516,1109.165,3003.1682666435795,45275.30592939158,100034482719.45741,3.927711153477515,1638.36,2113.9585947695386,37823.39072584583,104473740241.98718,2.8598718621573673
階段降り,-10286.85,4787.918850346153,160463.9833981445,1680032041320.205,1.6919022178787713,2923.305,851.5989149681909,43060.266685193674,112523839996.54218,1.3616264727561325,823.02,833.3834169216474,16564.358363667456,28520530550.4644,2.107767855760075,-10029.965,5209.153604355989,159834.58898185962,1826643797955.7114,1.7175082557902719,-2357.845,1363.5905547395816,38519.637186764885,110636239110.94388,1.7414585855122715,116.555,819.4049895961093,11704.781971484988,7198243321.58523,3.331950719493334,-10345.625,7052.2126360721,177068.15620263288,2338759986823.4077,2.7156494738404486,1493.08,6549.3326449036,94997.94311457485,768429697524.155,3.746248853488681,725.635,6154.303837297522,87637.89348791994,585684426157.7734,4.434212858150229,-10391.025,8967.296389345838,194106.056105934,3214918304456.978,3.211197152995992,-1398.71,9675.670586884406,138257.00052438574,2200455355903.2886,3.6669797380503804,429.545,10266.301016820758,145314.44902348836,1765246031549.541,4.577338719156141,-9844.335,4194.851793898683,151332.55642128034,1695468563792.894,1.7118293414961698,1203.69,2942.4443637730856,44959.64512760304,169256406866.62784,3.9598061512720717,1702.775,2028.0571649672495,37449.85598103149,117374392595.70192,2.9878822491184196
