,CNNLSTMAttentionModel,CNNAttentionModel,LSTMAttentionModel,CNNModel,LSTMModel,CNNLSTMModel
missing_0,0.5020231215684106,0.6862974304131468,0.8112971095234973,0.8407842607528615,0.7229686749860378,0.5686507940228835
missing_1,0.5087837532828695,0.6349390022243916,0.7965832088965302,0.8345271094598143,0.6408147248623386,0.5763371375107578
missing_2,0.47606770126685244,0.6058174073120113,0.7695745586937359,0.7967943408239376,0.5927691588741874,0.5651041848262617
missing_3,0.4479973112923605,0.5747629291782895,0.7187878098564822,0.7459359649523528,0.5884103329897972,0.531776862192406
missing_4,0.41718636505389484,0.5506094709543172,0.6661426506063276,0.6804732501719568,0.5993616495619788,0.5221166064045446
missing_5,0.3747301166827423,0.5106521089674974,0.6351283078607046,0.5998944284825979,0.5953677880842073,0.48455708018067317
missing_6,0.3002164942156579,0.441886863059415,0.5932719971679965,0.4656164049110953,0.539762891328481,0.42982866882383625
